Time,Message ID,Initial Ammonia Concentration,Initial Hydrogen Sulfide Concentration,Maximum Pressure,Volumetric Flow Rate,Cost Per Gram (Copper Sulfate),Cost Per Gram (Ammonia),Cost Per Gram (Sulfuric Acid),Cost Per Kilowatt Hour,Number of Chemical Analyzers,Volumetric Flow Rate,Hydrogen Sulfide Concentration,Ammonia Concentration,Water Concentration,Max Applied Pressure,Concentration of Hydrogen Sulfide (leaving CSTR),Concentration of Ammonia (leaving CSTR),Concentration of Hydrogen Sulfide (leaving SSU),Concentration of Ammonia (leaving SUU),Final Concentration of Hydrogen Sulfide,Final Concentration of Ammonia,Final Concentration of Water,Power Consumption (KhW/s),Clean Water Production Percentage,Current Cost Of Power Per Second,Current Cost Of Chemicals Per Second,Current Segment Cost Per Liter,Grams CuS,Grams NH3,Grams H2SO4,NGSWAT-100,NGSWAT-200,NGSWAT-300,NGSWAT-400,Simulation Ticks,Segment Ticks,Segment Liters Treated,Segment Cost,Max Hydrogen Sulfide Concentration,Min Hydrogen Sulfide Concentration,Max Ammonia Concentration,Min Ammonia Concentration,Max Clean Water Percentage,Min Clean Water Percentage,Max Cost Per Liter,Min Cost Per Liter,Total Cost,Total Liters Treated,Average Cost Per Liter,Average Hydrogen Sulfide Concentration,Average Ammonia Concentration,Average Clean Water Percentage
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,11999.34,988000.66,70000,0,0.01199934,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81191919,0.006333333,8.87193116,8.87,0,0,10899.1783,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,2835,79.86,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.813962,97.808376,0.0282,0.0281,79.86,2835,0.0282,0.00E+00,1.20E-10,97.811619
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,12007.5,987992.5,70000,0,0.0120075,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81045199,0.006333333,8.877962042,8.88,0,0,10906.5873,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,3150,88.74,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.813962,97.808376,0.0282,0.0281,88.74,3150,0.0282,0.00E+00,1.20E-10,97.811502
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,12003.57,987996.43,70000,0,0.01200357,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81115779,0.006333333,8.87506088,8.88,0,0,10903.0232,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,3465,97.62,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.813962,97.808376,0.0282,0.0281,97.62,3465,0.0282,0.00E+00,1.20E-10,97.811471
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,12003.82,987996.18,70000,0,0.01200382,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81111401,0.006333333,8.875240808,8.88,0,0,10903.2442,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,3780,106.5,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.813962,97.808376,0.0282,0.0281,106.5,3780,0.0282,0.00E+00,1.20E-10,97.811441
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,12002.6,987997.4,70000,0,0.0120026,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81133253,0.006333333,8.874342595,8.87,0,0,10902.1408,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,4095,115.37,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.813962,97.808376,0.0282,0.0281,115.37,4095,0.0282,0.00E+00,1.20E-10,97.811433
