Time	Message ID	Initial Ammonia Concentration	Initial Hydrogen Sulfide Concentration	Maximum Pressure	Volumetric Flow Rate	Cost Per Gram (Copper Sulfate)	Cost Per Gram (Ammonia)	Cost Per Gram (Sulfuric Acid)	Cost Per Kilowatt Hour	Number of Chemical Analyzers	Volumetric Flow Rate	Hydrogen Sulfide Concentration	Ammonia Concentration	Water Concentration	Max Applied Pressure	Concentration of Hydrogen Sulfide (leaving CSTR)	Concentration of Ammonia (leaving CSTR)	Concentration of Hydrogen Sulfide (leaving SSU)	Concentration of Ammonia (leaving SUU)	Final Concentration of Hydrogen Sulfide	Final Concentration of Ammonia	Final Concentration of Water	Power Consumption (KhW/s)	Clean Water Production Percentage	Current Cost Of Power Per Second	Current Cost Of Chemicals Per Second	Current Segment Cost Per Liter	Grams CuS	Grams NH3	Grams H2SO4	NGSWAT-100	NGSWAT-200	NGSWAT-300	NGSWAT-400	Simulation Ticks	Segment Ticks	Segment Liters Treated	Segment Cost	Max Hydrogen Sulfide Concentration	Min Hydrogen Sulfide Concentration	Max Ammonia Concentration	Min Ammonia Concentration	Max Clean Water Percentage	Min Clean Water Percentage	Max Cost Per Liter	Min Cost Per Liter	Total Cost	Total Liters Treated	Average Cost Per Liter	Average Hydrogen Sulfide Concentration	Average Ammonia Concentration	Average Clean Water Percentage
4/14/2017 6:45	Simulation Tick																																		10	10	3150	17311.22	3.79E-06	3.78E-06	3.79E-08	3.78E-08	97.841678	97.837922	5.4941	5.4819	17311.22	3150	5.4956	3.79E-06	3.79E-08	97.840465
4/14/2017 6:45	System Status Message										315.45	11993.58	12003.57	976002.85	70000	0.01199358	0.01200357	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.84061457	0.006333333	1729.332293	1729.33	17718.4425	0	15.1214	PASS	PASS	PASS	PASS																		
4/14/2017 6:45	Simulation Tick																																		11	11	3465	19040.55	3.79E-06	3.78E-06	3.79E-08	3.78E-08	97.841678	97.837922	5.4941	5.4819	19040.55	3465	5.4951	3.79E-06	3.79E-08	97.840479
4/14/2017 6:45	System Status Message										315.45	12008.67	12003.82	975987.51	70000	0.01200867	0.01200382	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.84060818	0.006333333	1731.498143	1731.5	17740.746	0	1.637	PASS	PASS	PASS	PASS																		
4/14/2017 6:45	Simulation Tick																																		12	12	3780	20772.05	3.79E-06	3.78E-06	3.79E-08	3.78E-08	97.841678	97.837922	5.4941	5.4819	20772.05	3780	5.4953	3.79E-06	3.79E-08	97.84049
4/14/2017 6:45	System Status Message										315.45	12005.5	12002.6	975991.9	70000	0.0120055	0.0120026	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.84081604	0.006333333	1731.042744	1731.04	17736.0652	0	3.4099	PASS	PASS	PASS	PASS																		
4/14/2017 6:45	Simulation Tick																																		13	13	4095	22503.09	3.79E-06	3.78E-06	3.79E-08	3.78E-08	97.841678	97.837922	5.4941	5.4819	22503.09	4095	5.4953	3.79E-06	3.79E-08	97.840515
4/14/2017 6:45	System Status Message										315.45	11998.39	12003.87	975997.74	70000	0.01199839	0.01200387	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.840574	0.006333333	1730.022454	1730.02	17725.548	0	11.0228	PASS	PASS	PASS	PASS																		
4/14/2017 6:45	Simulation Tick																																		14	14	4410	24233.11	3.79E-06	3.78E-06	3.79E-08	3.78E-08	97.841678	97.837922	5.4941	5.4819	24233.11	4410	5.495	3.79E-06	3.79E-08	97.840519
4/14/2017 6:45	System Status Message										315.45	11995.81	12001.56	976002.63	70000	0.01199581	0.01200156	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.84097654	0.006333333	1729.651496	1729.65	17721.7451	0	11.2671	PASS	PASS	PASS	PASS																		
