Time	Message ID	Initial Ammonia Concentration	Initial Hydrogen Sulfide Concentration	Maximum Pressure	Volumetric Flow Rate	Cost Per Gram (Copper Sulfate)	Cost Per Gram (Ammonia)	Cost Per Gram (Sulfuric Acid)	Cost Per Kilowatt Hour	Number of Chemical Analyzers	Volumetric Flow Rate	Hydrogen Sulfide Concentration	Ammonia Concentration	Water Concentration	Max Applied Pressure	Concentration of Hydrogen Sulfide (leaving CSTR)	Concentration of Ammonia (leaving CSTR)	Concentration of Hydrogen Sulfide (leaving SSU)	Concentration of Ammonia (leaving SUU)	Final Concentration of Hydrogen Sulfide	Final Concentration of Ammonia	Final Concentration of Water	Power Consumption (KhW/s)	Clean Water Production Percentage	Current Cost Of Power Per Second	Current Cost Of Chemicals Per Second	Current Segment Cost Per Liter	Grams CuS	Grams NH3	Grams H2SO4	NGSWAT-100	NGSWAT-200	NGSWAT-300	NGSWAT-400	Simulation Ticks	Segment Ticks	Segment Liters Treated	Segment Cost	Max Hydrogen Sulfide Concentration	Min Hydrogen Sulfide Concentration	Max Ammonia Concentration	Min Ammonia Concentration	Max Clean Water Percentage	Min Clean Water Percentage	Max Cost Per Liter	Min Cost Per Liter	Total Cost	Total Liters Treated	Average Cost Per Liter	Average Hydrogen Sulfide Concentration	Average Ammonia Concentration	Average Clean Water Percentage
4/14/2017 8:39	Simulation Tick																																		10	10	3150	21065.38	1.20E-08	1.20E-08	1.20E-10	1.20E-10	97.814265	97.810111	6.6838	6.671	21065.38	3150	6.6874	1.20E-08	1.20E-10	97.812041
4/14/2017 8:39	System Status Message										315.45	11993.58	0	988006.42	70000	0.01199358	0.01198692	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.81416878	0.006333333	2104.460318	2104.46	17718.4425	3781.2754	0	PASS	PASS	PASS	PASS																		
4/14/2017 8:39	Simulation Tick																																		11	11	3465	23169.84	1.20E-08	1.20E-08	1.20E-10	1.20E-10	97.814265	97.810111	6.6838	6.671	23169.84	3465	6.6868	1.20E-08	1.20E-10	97.812234
4/14/2017 8:39	System Status Message										315.45	12008.67	0	987991.33	70000	0.01200867	0.01200201	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.81145467	0.006333333	2107.109362	2107.11	17740.746	3786.0352	0	PASS	PASS	PASS	PASS																		
4/14/2017 8:39	Simulation Tick																																		12	12	3780	25276.95	1.20E-08	1.20E-08	1.20E-10	1.20E-10	97.814265	97.810111	6.6838	6.671	25276.95	3780	6.687	1.20E-08	1.20E-10	97.812169
4/14/2017 8:39	System Status Message										315.45	12005.5	0	987994.5	70000	0.0120055	0.01199885	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.81202427	0.006333333	2106.553417	2106.55	17736.0652	3785.0363	0	PASS	PASS	PASS	PASS																		
4/14/2017 8:39	Simulation Tick																																		13	13	4095	27383.5	1.20E-08	1.20E-08	1.20E-10	1.20E-10	97.814265	97.810111	6.6838	6.671	27383.5	4095	6.6871	1.20E-08	1.20E-10	97.812158
4/14/2017 8:39	System Status Message										315.45	11998.39	0	988001.61	70000	0.01199839	0.01199173	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.8133041	0.006333333	2105.304255	2105.3	17725.548	3782.7918	0	PASS	PASS	PASS	PASS																		
4/14/2017 8:39	Simulation Tick																																		14	14	4410	29488.8	1.20E-08	1.20E-08	1.20E-10	1.20E-10	97.814265	97.810111	6.6838	6.671	29488.8	4410	6.6868	1.20E-08	1.20E-10	97.81224
4/14/2017 8:39	System Status Message										315.45	11995.81	0	988004.19	70000	0.01199581	0.01198916	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.81376687	0.006333333	2104.852583	2104.85	17721.7451	3781.9802	0	PASS	PASS	PASS	PASS																		
